Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
40138,Roveri,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40139,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40141,San Ruffillo,Emilia-Romagna,ER,Bologna,44.45,11.3667
47100,Ronco,Emilia-Romagna,ER,Forli,44.3072,11.9453
44100,Ferrara,Emilia-Romagna,ER,Ferrara,44.8379,11.6204
41100,Baggiovara,Emilia-Romagna,ER,Modena,44.6043,10.8625
29100,Sant'Antonio,Emilia-Romagna,ER,Piacenza,45.0533,9.6483
43100,Cortile San Martino,Emilia-Romagna,ER,Parma,44.7816,10.3292
43126,Parma,Emilia-Romagna,ER,Parma,44.815,10.308
48100,San Bartolo,Emilia-Romagna,ER,Ravenna,44.3611,11.8217
42100,Coviolo,Emilia-Romagna,ER,Reggio Nell'Emilia,44.6802,10.5913
34170,Gorizia,Friuli-Venezia Giulia,FV,Gorizia,45.9413,13.6215
33170,Pordenone,Friuli-Venezia Giulia,FV,Pordenone,45.9627,12.655
34100,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34121,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34122,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34123,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34124,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34125,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34126,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34127,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34128,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34129,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34131,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34132,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34133,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34134,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34135,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34136,Cedas,Friuli-Venezia Giulia,FV,Trieste,45.7,13.7333
34137,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34138,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34139,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34141,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34142,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34143,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34144,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34145,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34146,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34147,Aquilinia,Friuli-Venezia Giulia,FV,Trieste,45.6,13.8
34148,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34149,Cattinara,Friuli-Venezia Giulia,FV,Trieste,45.6333,13.8167
34151,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6536,13.7784
33100,Baldasseria,Friuli-Venezia Giulia,FV,Udine,46.033,13.2964
16100,Genova,Liguria,LG,Genova,44.4167,8.95
16121,Genova,Liguria,LG,Genova,44.4167,8.95
16122,Genova,Liguria,LG,Genova,44.4167,8.95
16123,Genova,Liguria,LG,Genova,44.4167,8.95
16124,Genova,Liguria,LG,Genova,44.4167,8.95
16125,Genova,Liguria,LG,Genova,44.4167,8.95
16126,Genova,Liguria,LG,Genova,44.4167,8.95
16127,Genova,Liguria,LG,Genova,44.4167,8.95
16128,Genova,Liguria,LG,Genova,44.4167,8.95
16129,Genova,Liguria,LG,Genova,44.4167,8.95
16131,Genova,Liguria,LG,Genova,44.4167,8.95
16132,Genova,Liguria,LG,Genova,44.4167,8.95
16133,San Desiderio,Liguria,LG,Genova,44.4167,8.95
16134,Genova,Liguria,LG,Genova,44.4167,8.95
16135,Genova,Liguria,LG,Genova,44.4167,8.95
16136,Genova,Liguria,LG,Genova,44.4167,8.95
16137,Staglieno,Liguria,LG,Genova,44.4333,8.95
16138,Molassana,Liguria,LG,Genova,44.4167,8.95
16139,Genova,Liguria,LG,Genova,44.4167,8.95
16141,Sant'Eusebio,Liguria,LG,Genova,44.4167,8.95
16142,Genova,Liguria,LG,Genova,44.4167,8.95
16143,Genova,Liguria,LG,Genova,44.4167,8.95
16144,Genova,Liguria,LG,Genova,44.4167,8.95
16145,Genova,Liguria,LG,Genova,44.4167,8.95
16146,Genova,Liguria,LG,Genova,44.4167,8.95
16147,Sturla,Liguria,LG,Genova,44.4,8.9833
16148,Quarto Dei Mille,Liguria,LG,Genova,44.3833,8.9833
16149,Sampierdarena,Liguria,LG,Genova,44.4167,8.9
16151,Campasso,Liguria,LG,Genova,44.4167,8.95
16152,Cornigliano Ligure,Liguria,LG,Genova,44.4167,8.8833
16153,Borzoli,Liguria,LG,Genova,44.4167,8.95
16154,San Giovanni Battista,Liguria,LG,Genova,44.4167,8.9
16155,Genova,Liguria,LG,Genova,44.4167,8.95
16156,Genova,Liguria,LG,Genova,44.4167,8.95
16157,Palmaro Di Pra',Liguria,LG,Genova,44.425,8.8667
16158,Genova,Liguria,LG,Genova,44.4167,8.95
16159,Certosa Di Rivarolo Ligure,Liguria,LG,Genova,44.425,8.925
16161,Fegino,Liguria,LG,Genova,44.4333,8.8833
16162,Bolzaneto,Liguria,LG,Genova,44.45,8.9
16163,San Quirico In Val Polcevera,Liguria,LG,Genova,44.4833,8.8833
16164,Pontedecimo,Liguria,LG,Genova,44.5,8.9
16165,Struppa,Liguria,LG,Genova,44.45,9.0333
16166,Quinto Al Mare,Liguria,LG,Genova,44.3833,9.0167
16167,Nervi,Liguria,LG,Genova,44.3833,9.0333
18100,Imperia,Liguria,LG,Imperia,43.8879,8.0316
19100,La Spezia,Liguria,LG,La Spezia,44.1167,9.8333
19121,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167
19122,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167
19123,Pegazzano,Liguria,LG,La Spezia,44.1167,9.8
19124,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167
19125,Laspezia,Liguria,LG,La Spezia,44.1222,9.8167
19126,Isola,Liguria,LG,La Spezia,44.1333,9.8333
19131,Laspezia,Liguria,LG,La Spezia,44.133,9.7586
19132,Laspezia,Liguria,LG,La Spezia,44.0667,9.8
19133,Biassa,Liguria,LG,La Spezia,44.133,9.7586
19134,Marinasco,Liguria,LG,La Spezia,44.1333,9.7833
19135,Laspezia,Liguria,LG,La Spezia,44.133,9.7586
19136,Laspezia,Liguria,LG,La Spezia,44.1167,9.8667
19137,Laspezia,Liguria,LG,La Spezia,44.133,9.7586
19138,Laspezia,Liguria,LG,La Spezia,44.2647,9.4181
19139,Laspezia,Liguria,LG,La Spezia,44.0833,9.9
17100,Zinola,Liguria,LG,Savona,44.2864,8.4479
24100,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167
24121,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167
24122,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167
24123,Valtesse,Lombardia,LM,Bergamo,45.7167,9.6667
24124,Redona,Lombardia,LM,Bergamo,45.6833,9.7167
24125,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167
24126,Colognola Al Piano,Lombardia,LM,Bergamo,45.6833,9.7167
24127,Bergamo,Lombardia,LM,Bergamo,45.6833,9.7167
24128,Loreto,Lombardia,LM,Bergamo,45.6833,9.7167
24129,Longuelo,Lombardia,LM,Bergamo,45.6833,9.7167
25100,Brescia,Lombardia,LM,Brescia,45.55,10.25
25121,Brescia,Lombardia,LM,Brescia,45.55,10.25
25122,Brescia,Lombardia,LM,Brescia,45.55,10.25
25123,Brescia,Lombardia,LM,Brescia,45.55,10.25
25124,Brescia,Lombardia,LM,Brescia,45.55,10.25
25125,Brescia,Lombardia,LM,Brescia,45.55,10.25
25126,Brescia,Lombardia,LM,Brescia,45.55,10.25
25127,Brescia,Lombardia,LM,Brescia,45.5398,10.2229
25128,Brescia,Lombardia,LM,Brescia,45.55,10.25
25129,Brescia,Lombardia,LM,Brescia,45.55,10.25
25131,Fornaci,Lombardia,LM,Brescia,45.5,10.1667
25132,Mandolossa Di Brescia,Lombardia,LM,Brescia,45.55,10.25
25133,Mompiano,Lombardia,LM,Brescia,45.55,10.25
25134,San Polo,Lombardia,LM,Brescia,45.5167,10.2667
25135,Sant'Eufemia Della Fonte,Lombardia,LM,Brescia,45.55,10.25
25136,Stocchetta,Lombardia,LM,Brescia,45.55,10.25
22100,Lora,Lombardia,LM,Como,45.7991,9.111
26100,Cava Tigozzi,Lombardia,LM,Cremona,45.1514,9.957
20100,Milano,Lombardia,LM,Milano,45.4612,9.1878
20121,Milano,Lombardia,LM,Milano,45.4612,9.1878
20122,Milano,Lombardia,LM,Milano,45.4612,9.1878
20123,Milano,Lombardia,LM,Milano,45.4612,9.1878
20124,Milano,Lombardia,LM,Milano,45.4612,9.1878
20125,Greco,Lombardia,LM,Milano,45.5639,9.0356
20126,Milano,Lombardia,LM,Milano,45.4612,9.1878
20127,Crescenzago,Lombardia,LM,Milano,45.5167,9.25
20128,Milano,Lombardia,LM,Milano,45.4612,9.1878
20129,Milano,Lombardia,LM,Milano,45.4612,9.1878
20131,Milano,Lombardia,LM,Milano,45.4637,9.1881
20132,Milano,Lombardia,LM,Milano,45.4612,9.1878
20133,Milano,Lombardia,LM,Milano,45.4612,9.1878
20134,Lambrate,Lombardia,LM,Milano,45.4833,9.25
20135,Milano,Lombardia,LM,Milano,45.4612,9.1878
20136,Milano,Lombardia,LM,Milano,45.4612,9.1878
20137,Milano,Lombardia,LM,Milano,45.4612,9.1878
20138,Milano,Lombardia,LM,Milano,45.4612,9.1878
20139,Chiaravalle Milanese,Lombardia,LM,Milano,45.4612,9.1878
20141,Milano,Lombardia,LM,Milano,45.4612,9.1878
20142,Gratosoglio,Lombardia,LM,Milano,45.4612,9.1878
20143,Barona,Lombardia,LM,Milano,45.4612,9.1878
20144,Milano,Lombardia,LM,Milano,45.4612,9.1878
20145,Milano,Lombardia,LM,Milano,45.4612,9.1878
20146,Milano,Lombardia,LM,Milano,45.4612,9.1878
20147,Milano,Lombardia,LM,Milano,45.4612,9.1878
20148,Milano,Lombardia,LM,Milano,45.4612,9.1878
20149,Milano,Lombardia,LM,Milano,45.4612,9.1878
20151,Musocco,Lombardia,LM,Milano,45.5,9.1333
20152,Baggio,Lombardia,LM,Milano,45.45,9.0833
20153,Trenno,Lombardia,LM,Milano,45.4612,9.1878
20154,Milano,Lombardia,LM,Milano,45.4612,9.1878
20155,Milano,Lombardia,LM,Milano,45.4612,9.1878
20156,Milano,Lombardia,LM,Milano,45.4612,9.1878
20157,Vialba,Lombardia,LM,Milano,45.4723,9.1856
20158,Milano,Lombardia,LM,Milano,45.4612,9.1878
20159,Milano,Lombardia,LM,Milano,45.4612,9.1878
20161,Affori,Lombardia,LM,Milano,45.4973,9.1856
20162,Milano,Lombardia,LM,Milano,45.4612,9.1878
46100,Mantova,Lombardia,LM,Mantova,45.1604,10.7977
27100,Pavia,Lombardia,LM,Pavia,45.1859,9.1566
23100,Albosaggia,Lombardia,LM,Sondrio,46.1611,9.8722
21100,Sant'Ambrogio Olona,Lombardia,LM,Varese,45.8412,8.8095
03100,Frosinone Stazione,Lazio,LZ,Frosinone,41.6333,13.3167
04100,Borgo Isonzo,Lazio,LZ,Latina,41.4408,12.9091
02100,Rieti,Lazio,LZ,Rieti,42.4031,12.8612
00100,Roma,Lazio,LZ,Roma,41.9,12.4833
00119,Ostia Antica,Lazio,LZ,Roma,41.75,12.3
00120,Roma,Lazio,LZ,Roma,41.9,12.4833
00121,Lido Di Ostia Ponente,Lazio,LZ,Roma,41.9,12.4833
00122,Castel Porziano,Lazio,LZ,Roma,41.7333,12.4
00123,Roma,Lazio,LZ,Roma,41.9,12.4833
00124,Roma,Lazio,LZ,Roma,41.9,12.4833
00125,Roma,Lazio,LZ,Roma,41.9,12.4833
00126,Roma,Lazio,LZ,Roma,41.9,12.4833
00127,Vitinia,Lazio,LZ,Roma,41.9,12.4833
00128,Castel Romano,Lazio,LZ,Roma,41.7333,12.45
00131,Roma,Lazio,LZ,Roma,41.9,12.4833
00132,Borgata Finocchio,Lazio,LZ,Roma,41.9,12.4833
00133,Torre Angela,Lazio,LZ,Roma,41.8667,12.5833
00134,Castel Di Leva,Lazio,LZ,Roma,41.7833,12.5333
00135,Roma,Lazio,LZ,Roma,41.8955,12.4823
00136,Roma,Lazio,LZ,Roma,41.9,12.4833
00137,Roma,Lazio,LZ,Roma,41.9,12.4833
00138,Marcigliana,Lazio,LZ,Roma,42.0167,12.5167
00139,Roma,Lazio,LZ,Roma,41.9,12.4833
00141,Roma,Lazio,LZ,Roma,41.9,12.4833
00142,Roma,Lazio,LZ,Roma,41.9,12.4833
00143,Cecchignola,Lazio,LZ,Roma,41.8167,12.4833
00144,Decima,Lazio,LZ,Roma,41.75,12.4333
00145,Roma,Lazio,LZ,Roma,41.9,12.4833
00146,Roma,Lazio,LZ,Roma,41.9,12.4833
00147,Roma,Lazio,LZ,Roma,41.9,12.4833
00148,Borgata Corviale,Lazio,LZ,Roma,41.9,12.4833
00149,Roma,Lazio,LZ,Roma,41.9,12.4833
00151,Roma,Lazio,LZ,Roma,41.9,12.4833
