Postal Codes,Place Name,State,Latitude,Longitude
70550,Parakaduwa,RN,6.8333,80.3
70552,Ellaulla,RN,6.8583,80.3083
70556,Godagampola,RN,6.8833,80.3167
70600,Eheliyagoda,RN,6.85,80.2667
70602,Erepola,RN,6.8,80.2333
70604,Mitipola,RN,6.8333,80.2167
70606,Ellawala,RN,6.8,80.2667
70612,Panawala,RN,6.9833,80.0333
70620,Getahetta,RN,6.9128,80.2358
31000,Trincomalee,TC,8.5667,81.2333
31006,Sampaltivu,TC,8.6167,81.2
31010,Nilaveli,TC,8.6833,81.2
31012,Kumburupiddy,TC,8.7333,81.15
31014,Kuchchaveli,TC,8.8167,81.1
31016,Tiriyayi,TC,8.7444,81.15
31026,Gomarankadawala,TC,8.6667,80.95
31028,Buckmigama,TC,8.6667,80.95
31032,Kanniya,TC,8.6333,81.0167
31034,Pankulam,TC,8.6333,81.0167
31036,Mahadivulwewa,TC,8.6333,81.0167
31038,Rottawewa,TC,8.6333,81.0167
31046,Tampalakamam,TC,8.4925,81.0964
31050,Chinabay,TC,8.5167,81.1833
31053,Vellamanal,TC,8.5167,81.1833
31100,Kinniya,TC,8.4989,81.1897
31106,Maharugiramam,TC,8.4989,81.1897
31112,Kurinchakemy,TC,8.4989,81.1897
31200,Mutur,TC,8.45,81.2667
31212,Kaddaiparichchan,TC,8.45,81.2833
31216,Sampur,TC,8.4833,81.2833
31220,Kiliveddy,TC,8.4458,81.2875
31222,Somapura,TC,8.4458,81.2875
31224,Mallikativu,TC,8.4458,81.2875
31226,Dehiwatte,TC,8.4458,81.2875
31228,Neelapola,TC,8.4458,81.2875
31232,Serunuwara,TC,8.4458,81.2875
31234,Lankapatuna,TC,8.4458,81.2875
31236,Echchilampattai,TC,8.4458,81.2875
31238,Mawadichenai,TC,8.4458,81.2875
31250,Toppur,TC,8.4,81.3167
31260,Seruwila,TC,8.4458,81.2875
31300,Kantalai,TC,8.3683,81.0281
31304,Agbopura,TC,8.3683,81.0281
31306,Kantalai Sugar Factory,TC,8.3683,81.0281
31308,Wanela,TC,8.3683,81.0281
31312,Mullipothana,TC,8.3683,81.0281
31314,Sirajnagar,TC,8.3683,81.0281
31318,Galmetiyawa,TC,8.3683,81.0281
43000,Vavuniya,VA,8.75,80.5
,,,,
,,,,
,,,,
