Postal Code,Place Name,State,County,City,Latitude,Longitude
01230,Kazimkarabekir Mah.,Adana,Yüre?ir,Kazimkarabekir,38.4953,35.7769
01240,Serinevler Mah.,Adana,Yüre?ir,Pttevleri,38.4953,35.7769
01250,Dervi?ler Mah.,Adana,Yüre?ir,Kiremithane,38.4953,35.7769
01270,Haydaro?lu Mah.,Adana,Yüre?ir,Haydaro?lu,38.4953,35.7769
01280,Güne?li Mah.,Adana,Yüre?ir,Kar?iyaka,38.4953,35.7769
01290,Yamaçli Mah.,Adana,Yüre?ir,Yamaçli,38.4953,35.7769
01300,Cumhuriyet Mah.,Adana,Yüre?ir,Anadolu,38.8467,36.1733
01310,Levent Mah.,Adana,Yüre?ir,Keresteciler,38.8467,36.1733
01330,Üniversite Mah.,Adana,Yüre?ir,Üniversite,38.8467,36.1733
01345,Cumhuriyet Mah.,Adana,Yüre?ir,Abdio?lu,38.8467,36.1733
01350,Ka?lica Köyü,Adana,Yüre?ir,Köyler,41.1167,37.25
01370,Pekmezli Mah.,Adana,Yüre?ir,Do?ankent,38.2792,35.9042
01375,Havutlu Mah.,Adana,Yüre?ir,Havutlu,38.2792,35.9042
01385,Çelemli Köyü,Adana,Yüre?ir,Köyler,38.8467,36.1733
01415,Belören Köyü,Adana,Yüre?ir,Köyler,38.4953,35.7769
01260,Koza Mah.,Adana,Sariçam,Sariçam,38.4953,35.7769
01340,Kemalpa?a Mah.,Adana,Sariçam,?ncirlik,38.8467,36.1733
01410,Büyükbaklali Mah.,Adana,Sariçam,Baklali,38.4953,35.7769
01460,?stiklal Mah.,Adana,Sariçam,Buruk,38.4953,35.7769
01790,Kösefakili Köyü,Adana,Sariçam,Köyler,38.4163,36.7381
01720,Mazilik Köyü,Adana,Alada?(Karsanti),Köyler,39.8611,37.0611
01730,Akören Köyü,Adana,Alada?(Karsanti),Köyler,38.4163,36.7381
01920,Yellibel Köyü,Adana,Ceyhan,Köyler,37.8439,34.1346
01930,Altiocak Mah.,Adana,Ceyhan,Sanayi,38.4514,33.9844
01935,Kurtkula?i Köyü,Adana,Ceyhan,Köyler,38.4514,33.9844
01940,Mithatpa?a Mah.,Adana,Ceyhan,Emek,40.6295,30.6428
01945,Yeni Mah.,Adana,Ceyhan,Mercimek,40.6295,30.6428
01950,Mithatpa?a Mah.,Adana,Ceyhan,Namikkemal,38.4514,33.9844
01955,Höyük Mah.,Adana,Ceyhan,Doruk,38.4514,33.9844
01956,Karakeçilio?lu Mah.,Adana,Ceyhan,Sarimazi,38.4514,33.9844
01960,Koruklu Mah.,Adana,Ceyhan,Türlüba?,38.4514,33.9844
01965,Hamdilli Köyü,Adana,Ceyhan,Köyler,38.4514,33.9844
01970,Mustafabey Mah.,Adana,Ceyhan,Mustafabeyli,38.4514,33.9844
01980,Tatarli Köyü,Adana,Ceyhan,Kösreli,39.975,37.1417
01990,Ye?ildam Köyü,Adana,Ceyhan,Köyler,37.05,35.2333
01995,Büyükmangit Mah.,Adana,Ceyhan,Büyükmangit,37.05,35.2333
01660,Yerebakan Köyü,Adana,Feke,Köyler,39.0981,34.6188
01700,Ufacikören Köyü,Adana,?mamo?lu,Köyler,38.4163,36.7381
01770,A?a?ibelemedik Köyü,Adana,Karaisali,Köyler,37.5398,35.7333
01780,Salba? Mah.,Adana,Karaisali,Salba?,38.4163,36.7381
01900,E?ria?aç Köyü,Adana,Karata?,Köyler,36.7833,35.45
01500,Oruçlu Köyü,Adana,Kozan,Köyler,38.3167,35.8167
01510,Tufanpa?a Mah.,Adana,Kozan,Çar?i,40.8333,37.1333
01513,Aydin Köyü,Adana,Kozan,Tepecikören,40.8333,37.1333
01515,Hacibeyli  Köyü,Adana,Kozan,Köyler,40.8333,37.1333
01520,Aslanpa?a Mah.,Adana,Kozan,Aslanpa?a,38.82,36.08
01530,Haciu?a?i Mah.,Adana,Kozan,Mahmutlu,38.82,36.08
01540,Gazi  Köyü,Adana,Kozan,Köyler,38.82,36.08
01470,Alpu Köyü,Adana,Pozanti,Köyler,38.4953,35.7769
01480,Da?dibi Köyü,Adana,Pozanti,Kami?li,38.4953,35.7769
01490,Merkez Mah.,Adana,Pozanti,Akçatekir,38.4953,35.7769
01740,Nalta? Köyü,Adana,Saimbeyli,Köyler,38.7245,38.4247
01640,Cumhuriyet Mah.,Adana,Tufanbeyli,Tufanbeyli,40.5333,37.0833
01680,Küçükyumurtalik Köyü,Adana,Yumurtalik,Köyler,37.9,35.7778
10000,Çinarlidere Köyü,Balikesir,Balikesir,Konakpinar,39.9499,32.4414
10020,Maltepe Mah.,Balikesir,Balikesir,Oruçgazi,39.9499,32.4414
10030,1.Sakarya Mah.,Balikesir,Balikesir,Sakarya,39.9499,32.4414
10040,2.Gündo?an Mah.,Balikesir,Balikesir,Gümü?çe?me,39.9499,32.4414
