Postal Code,Place Name,State,State Abbreviation,City,Latitude,Longitude
1730,Asse Mollem,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.2333
1731,Asse Relegem,Vlaanderen,VLG,Vlaams Brabant,50.9,4.2833
1740,Ternat,Vlaanderen,VLG,Vlaams Brabant,50.8667,4.1833
1741,Ternat Wambeek,Vlaanderen,VLG,Vlaams Brabant,50.85,4.1667
1742,Ternat Sint-Katherina-Lombeek,Vlaanderen,VLG,Vlaams Brabant,50.8667,4.15
1745,Opwijk Mazenzele,Vlaanderen,VLG,Vlaams Brabant,50.95,4.1667
1750,Lennik,Vlaanderen,VLG,Vlaams Brabant,50.8063,4.1684
1755,Gooik Oetingen,Vlaanderen,VLG,Vlaams Brabant,50.7667,4.0667
1760,Roosdaal Pamel,Vlaanderen,VLG,Vlaams Brabant,50.8461,4.0691
1761,Roosdaal,Vlaanderen,VLG,Vlaams Brabant,50.849,4.1372
1770,Liedekerke,Vlaanderen,VLG,Vlaams Brabant,50.8667,4.0833
1780,Wemmel,Vlaanderen,VLG,Vlaams Brabant,50.9167,4.3
1785,Merchtem Hamme,Vlaanderen,VLG,Vlaams Brabant,50.95,4.25
1790,Affligem Essene,Vlaanderen,VLG,Vlaams Brabant,50.9,4.1333
1800,Vilvoorde Peutie,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.45
1804,Cargovil,Vlaanderen,VLG,Vlaams Brabant Halle-Vilvoorde,50.9473,4.4273
1818,VTM,Vlaanderen,VLG,Vlaams Brabant Halle-Vilvoorde,50.9142,4.399
1820,Steenokkerzeel Perk,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.5
1830,Machelen,Vlaanderen,VLG,Vlaams Brabant,50.9167,4.4333
1831,Machelen,Vlaanderen,VLG,Vlaams Brabant,50.9167,4.4333
1840,Londerzeel,Vlaanderen,VLG,Vlaams Brabant,51,4.3
1850,Grimbergen,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.3833
1851,Grimbergen Humbeek,Vlaanderen,VLG,Vlaams Brabant,50.9667,4.3833
1852,Grimbergen,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.3833
1853,Grimbergen Strombeek-Bever,Vlaanderen,VLG,Vlaams Brabant,50.9,4.35
1860,Meise,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.3333
1861,Meise Wolvertem,Vlaanderen,VLG,Vlaams Brabant,50.95,4.3
1880,Kapelleopden-Bos Ramsdonk,Vlaanderen,VLG,Vlaams Brabant,50.9412,4.386
1910,Kampenhout Buken,Vlaanderen,VLG,Vlaams Brabant,50.9333,4.6167
1930,Zaventem,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.4667
1931,Brucargo,Vlaanderen,VLG,Vlaams Brabant Halle-Vilvoorde,50.9033,4.4522
1932,Zaventem,Vlaanderen,VLG,Vlaams Brabant,50.8833,4.4667
1933,Zaventem Sterrebeek,Vlaanderen,VLG,Vlaams Brabant,50.8667,4.5167
1934,Bruxelles X-Aeroport Remailing,Vlaanderen,VLG,Vlaams Brabant Halle-Vilvoorde,50.8923,4.4878
1950,Kraainem,Vlaanderen,VLG,Vlaams Brabant,50.8667,4.4667
1970,Wezembeek-Oppem,Vlaanderen,VLG,Vlaams Brabant,50.85,4.4833
1980,Zemst,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.4667
1981,Zemst Hofstade,Vlaanderen,VLG,Vlaams Brabant,50.9833,4.4667
1982,Zemst Weerde,Vlaanderen,VLG,Vlaams Brabant,50.9667,4.4833
2000,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2018,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2020,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2030,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2040,"Antwerpen Berendrecht-Zandvliet-Lillo, Lillo",Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2050,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2060,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2070,Zwijndrecht,Vlaanderen,VLG,Antwerpen,51.2167,4.3333
2100,Antwerpen Deurne,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2110,Wijnegem,Vlaanderen,VLG,Antwerpen,51.2333,4.5333
2140,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2150,Borsbeek,Vlaanderen,VLG,Antwerpen,51.2,4.4833
2160,Wommelgem,Vlaanderen,VLG,Antwerpen,51.2,4.5167
2170,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2180,Antwerpen,Vlaanderen,VLG,Antwerpen,51.2167,4.4167
2200,Herentals Morkhoven,Vlaanderen,VLG,Antwerpen,51.1167,4.8
2220,Heistopden-Berg,Vlaanderen,VLG,Antwerpen,51.1605,4.7784
2221,Heistopden-Berg Booischot,Vlaanderen,VLG,Antwerpen,51.1605,4.7784
2222,Heistopden-Berg Wiekevorst,Vlaanderen,VLG,Antwerpen,51.1605,4.7784
2223,Heistopden-Berg Schriek,Vlaanderen,VLG,Antwerpen,51.1605,4.7784
2230,Herselt,Vlaanderen,VLG,Antwerpen,51.05,4.8833
2235,Hulshout,Vlaanderen,VLG,Antwerpen,51.0833,4.7833
2240,Zandhoven Viersel,Vlaanderen,VLG,Antwerpen,51.1833,4.6333
2242,Zandhoven,Vlaanderen,VLG,Antwerpen,51.2167,4.65
2243,Zandhoven Pulle,Vlaanderen,VLG,Antwerpen,51.2,4.7
2250,Olen,Vlaanderen,VLG,Antwerpen,51.15,4.85
2260,Westerlo Zoerle-Parwijs,Vlaanderen,VLG,Antwerpen,51.0833,4.8667
2270,Herenthout,Vlaanderen,VLG,Antwerpen,51.15,4.7667
2275,Lille Wechelderzande,Vlaanderen,VLG,Antwerpen,51.2667,4.7667
2280,Grobbendonk,Vlaanderen,VLG,Antwerpen,51.2,4.7167
2288,Grobbendonk,Vlaanderen,VLG,Antwerpen,51.2,4.7167
2290,Vorselaar,Vlaanderen,VLG,Antwerpen,51.2,4.7667
2300,Turnhout,Vlaanderen,VLG,Antwerpen,51.3167,4.95
2310,Rijkevorsel,Vlaanderen,VLG,Antwerpen,51.35,4.7667
2320,Hoogstraten,Vlaanderen,VLG,Antwerpen,51.4,4.7667
2321,Hoogstraten Meer,Vlaanderen,VLG,Antwerpen,51.45,4.7333
2322,Hoogstraten,Vlaanderen,VLG,Antwerpen,51.4,4.7667
2323,Hoogstraten Wortel,Vlaanderen,VLG,Antwerpen,51.4,4.8
2328,Hoogstraten,Vlaanderen,VLG,Antwerpen,51.4,4.7667
2330,Merksplas,Vlaanderen,VLG,Antwerpen,51.3667,4.8667
2340,Beerse,Vlaanderen,VLG,Antwerpen,51.3167,4.8667
2350,Vosselaar,Vlaanderen,VLG,Antwerpen,51.3167,4.8833
2360,Oud-Turnhout,Vlaanderen,VLG,Antwerpen,51.3167,4.9833
2370,Arendonk,Vlaanderen,VLG,Antwerpen,51.3167,5.0833
2380,Ravels,Vlaanderen,VLG,Antwerpen,51.3667,5
2381,Ravels,Vlaanderen,VLG,Antwerpen,51.3667,5
2382,Ravels,Vlaanderen,VLG,Antwerpen,51.3667,5
2387,Baarle-Hertog,Vlaanderen,VLG,Antwerpen,51.45,4.9333
2390,Malle,Vlaanderen,VLG,Antwerpen,51.3,4.7083
2400,Mol,Vlaanderen,VLG,Antwerpen,51.1833,5.1
2430,Laakdal Vorst,Vlaanderen,VLG,Antwerpen,51.1,5
2431,Herselt Varendonk,Vlaanderen,VLG,Antwerpen,51.0583,4.9417
2440,Geel,Vlaanderen,VLG,Antwerpen,51.1667,5
2450,Meerhout,Vlaanderen,VLG,Antwerpen,51.35,4.75
2460,Kasterlee Tielen,Vlaanderen,VLG,Antwerpen,51.2333,4.8833
