Postal Code,Place Name,State,County,Latitude,Longitude
7881,Emmer-Compascuum,Provincie Drenthe,Gemeente Emmen,52.8117,7.0472
7884,Barger-Compascuum,Provincie Drenthe,Gemeente Emmen,52.755,7.0431
7885,Nieuw-Dordrecht,Provincie Drenthe,Gemeente Emmen,52.7483,6.9681
7887,Erica,Provincie Drenthe,Gemeente Emmen,52.7142,6.9264
7889,Klazienaveen-Noord,Provincie Drenthe,Gemeente Emmen,52.7717,7.0028
7890,Klazienaveen,Provincie Drenthe,Gemeente Emmen,52.7242,6.9903
7891,Klazienaveen,Provincie Drenthe,Gemeente Emmen,52.7242,6.9903
7892,Klazienaveen,Provincie Drenthe,Gemeente Emmen,52.7242,6.9903
7894,Zwartemeer,Provincie Drenthe,Gemeente Emmen,52.7192,7.0417
7895,Roswinkel,Provincie Drenthe,Gemeente Emmen,52.8375,7.0389
7900,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7901,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7902,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7903,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7904,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7905,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7906,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7907,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7908,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7909,Hoogeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7225,6.4764
7911,Nieuweroord,Provincie Drenthe,Gemeente Hoogeveen,52.7267,6.5625
7912,Nieuweroord,Provincie Drenthe,Gemeente Hoogeveen,52.7267,6.5625
7913,Hollandscheveld,Provincie Drenthe,Gemeente Hoogeveen,52.7058,6.5389
7914,Noordscheschut,Provincie Drenthe,Gemeente Hoogeveen,52.7242,6.5361
7916,Elim,Provincie Drenthe,Gemeente Hoogeveen,52.6808,6.5806
7918,Nieuwlande (Drenthe) (gemeente Hoogeveen),Provincie Drenthe,Gemeente Hoogeveen,52.6958,6.6139
7931,Fluitenberg,Provincie Drenthe,Gemeente Hoogeveen,52.7358,6.4542
7933,Pesse,Provincie Drenthe,Gemeente Hoogeveen,52.7725,6.4542
7934,Stuifzand,Provincie Drenthe,Gemeente Hoogeveen,52.7475,6.5
7936,Tiendeveen,Provincie Drenthe,Gemeente Hoogeveen,52.7475,6.5444
7940,Meppel,Provincie Drenthe,Gemeente Meppel,52.6958,6.1944
7941,Meppel,Provincie Drenthe,Gemeente Meppel,52.6958,6.1944
7942,Meppel,Provincie Drenthe,Gemeente Meppel,52.6958,6.1944
7943,Meppel,Provincie Drenthe,Gemeente Meppel,52.6958,6.1944
7944,Meppel,Provincie Drenthe,Gemeente Meppel,52.6958,6.1944
7948,Nijeveen,Provincie Drenthe,Gemeente Meppel,52.7333,6.1681
7949,Rogat,Provincie Drenthe,Gemeente Meppel,52.6883,6.2653
7966,De Schiphorst,Provincie Drenthe,Gemeente Meppel,52.6817,6.25
9443,Schoonloo,Provincie Drenthe,Gemeente Aa en Hunze,52.9058,6.7
9444,Grolloo,Provincie Drenthe,Gemeente Aa en Hunze,52.935,6.6722
9445,Vredenheim,Provincie Drenthe,Gemeente Aa en Hunze,52.9383,6.6361
9446,Amen,Provincie Drenthe,Gemeente Aa en Hunze,52.9425,6.6111
9447,Papenvoort,Provincie Drenthe,Gemeente Aa en Hunze,52.9525,6.7028
9448,Marwijksoord,Provincie Drenthe,Gemeente Aa en Hunze,52.9608,6.6597
9449,Nooitgedacht (Aa en Hunze),Provincie Drenthe,Gemeente Aa en Hunze,52.9683,6.6625
9450,Rolde,Provincie Drenthe,Gemeente Aa en Hunze,52.9842,6.6486
9451,Rolde,Provincie Drenthe,Gemeente Aa en Hunze,52.9842,6.6486
9452,Nijlande,Provincie Drenthe,Gemeente Aa en Hunze,52.9742,6.6278
9453,Eldersloo,Provincie Drenthe,Gemeente Aa en Hunze,52.9658,6.6181
