Postal Code,Place Name,State,State Abbreviation,County,City,Latitude,Longitude
8344,?????? / Kirovo,?????? / Burgas,BGS,?????? / Sredec,,42.15,27.1833
8345,???????? / Belevren,?????? / Burgas,BGS,?????? / Sredec,,42.1,27.1833
8347,???????? / Granichar,?????? / Burgas,BGS,?????? / Sredec,,42.1333,27.25
8103,??????? / Svoboda,?????? / Burgas,BGS,?????? / Kameno,??????? / Svoboda,42.5667,27.3167
8105,?????????? / Rusokastro,?????? / Burgas,BGS,?????? / Kameno,?????????? / Rusokastro,42.4667,27.1833
8106,???????? / Zheljazovo,?????? / Burgas,BGS,?????? / Kameno,,42.4833,27.15
8107,?????? / Livada,?????? / Burgas,BGS,?????? / Kameno,,42.45,27.2167
8108,???????? / Trojanovo,?????? / Burgas,BGS,?????? / Kameno,???????? / Trojanovo,42.55,27.15
8109,??????? / Vratica,?????? / Burgas,BGS,?????? / Kameno,,42.5833,27.1667
8120,?????? / Kameno,?????? / Burgas,BGS,?????? / Kameno,,42.5667,27.3
8121,???????? / Krustina,?????? / Burgas,BGS,?????? / Kameno,???????? / Krustina,42.5833,27.2333
8122,????? ???? / Cherni vrukh,?????? / Burgas,BGS,?????? / Kameno,????? ???? / Cherni vrukh,42.45,27.3333
8123,?????? ????? / Polski izvor,?????? / Burgas,BGS,?????? / Kameno,?????? ????? / Polski izvor,42.45,27.3
8129,????????????? / Konstantinovo,?????? / Burgas,BGS,?????? / Kameno,????????????? / Konstantinovo,42.4167,27.3167
8158,?????????? / Trustikovo,?????? / Burgas,BGS,?????? / Kameno,?????????? / Trustikovo,42.4333,27.2667
8533,???????? / Vinarsko,?????? / Burgas,BGS,?????? / Kameno,???????? / Vinarsko,42.6167,27.2
8400,???????? / Karnobat,?????? / Burgas,BGS,???????? / Karnobat,,42.65,26.9833
8427,?????? / Klikach,?????? / Burgas,BGS,???????? / Karnobat,?????? / Klikach,42.7,27.0667
8428,????? / Zimen,?????? / Burgas,BGS,???????? / Karnobat,????? / Zimen,42.7333,27.0333
8429,?????? / Glumche,?????? / Burgas,BGS,???????? / Karnobat,,42.7,27.0167
8431,????????? / Nevestino,?????? / Burgas,BGS,???????? / Karnobat,????????? / Nevestino,42.7333,26.95
8435,???????? / Sokolovo,?????? / Burgas,BGS,???????? / Karnobat,???????? / Sokolovo,42.6667,27.0667
8437,??????? / Dragovo,?????? / Burgas,BGS,???????? / Karnobat,??????? / Dragovo,42.6333,27.1167
8438,?????? / Sigmen,?????? / Burgas,BGS,???????? / Karnobat,?????? / Sigmen,42.7,26.9667
8439,??????? / Raklica,?????? / Burgas,BGS,???????? / Karnobat,,42.7667,27.0167
8444,??????? / Mudrino,?????? / Burgas,BGS,???????? / Karnobat,,42.7,26.9
8465,?????????? / Asparukhovo,?????? / Burgas,BGS,???????? / Karnobat,,42.5167,27.1167
8467,????? / Ognen,?????? / Burgas,BGS,???????? / Karnobat,,42.7,26.8167
8472,????????? / Cerkovski,?????? / Burgas,BGS,???????? / Karnobat,,42.6,26.8833
8473,????? / Venec,?????? / Burgas,BGS,???????? / Karnobat,????? / Venec,42.6333,26.8
8474,????????? / Devetinci,?????? / Burgas,BGS,???????? / Karnobat,,42.6,26.8333
8475,???????? / Zhitosvjat,?????? / Burgas,BGS,???????? / Karnobat,,42.4667,26.9833
8477,????????? / Dobrinovo,?????? / Burgas,BGS,???????? / Karnobat,,42.4667,26.9167
8478,??????? / Cherkovo,?????? / Burgas,BGS,???????? / Karnobat,??????? / Cherkovo,42.4833,27.0333
8479,??????? / Surnevo,?????? / Burgas,BGS,???????? / Karnobat,,42.4833,27.1
8480,??????? / Devetak,?????? / Burgas,BGS,???????? / Karnobat,??????? / Devetak,42.5667,26.8333
