Postal Code,Place Name,Latitude,Longitude
6322,Ohrid,41.1172,20.8019
6330,Struga,41.1781,20.6761
6333,Radolista,41.1642,20.6233
6334,Velesta,41.2408,20.6439
6335,Vevcani,41.2406,20.5933
6336,Labunista,41.2686,20.5961
6337,Lukovo,41.3494,20.6047
6338,Delgozda,,
6339,Oktisi,41.2325,20.6072
6341,Trebenista,41.2064,20.755
6342,Meseista,41.2386,20.7767
6344,Belcista,41.3028,20.8303
6346,Slivovo,41.4056,20.845
6530,Makedonski Brod,41.5136,21.2153
6533,Dolni Manastirec,41.6269,21.2106
6535,Samokov,41.6836,21.1442
6539,Dvorci,41.4647,21.0928
7000,Bitola,41.0311,21.3403
7202,Smilevo,41.155,21.1111
7204,Dolno Orizari,41.0503,21.3794
7205,Dihovo,41.0303,21.2639
7211,Novaci,41.0419,21.4561
7212,Dedebalci,41.1164,21.4842
7213,Makovo,41.1186,21.6094
7214,Staravina,41.0897,21.7339
7215,Dobrusevo,41.1686,21.4825
7216,Mogila,41.1083,21.3786
7221,Bistrica,40.9833,21.3667
7223,Porodin,40.9333,21.3667
7224,Keremenica,,
7225,Bac,40.9333,21.5667
7240,Demir Hisar,41.2217,21.2031
7241,Kukurecani,41.0956,21.3256
7242,Lopatica,41.1594,21.2539
7244,Zvan,41.2878,21.1208
7245,Ivanjevci,41.2064,21.3589
7310,Resen,41.0889,21.0122
7313,Capari,41.0561,21.1783
7314,Kazani,41.0653,21.1472
7315,Carev Dvor,41.0431,21.0072
7316,Asamati,40.9864,21.0511
7317,Krani,40.9394,21.1086
7318,Ljubojno,40.8942,21.1408
7319,Otesevo,40.9833,20.9167
7320,Jankovec,41.1103,21.0114
7500,Prilep,41.3464,21.5544
7504,Dolneni,41.4253,21.4547
7505,Kostinci,41.5017,21.4069
7506,Dunje,41.2575,21.6922
7507,Lazani,41.4422,21.3158
7508,Vitoliste,41.1808,21.8267
7509,Golemo Konjari,41.3431,21.4403
7512,Topolcani,41.2286,21.4314
7514,Kanatlarci,41.2103,21.5033
7524,Krivogastani,41.3361,21.3331
7525,Vodani,41.2836,21.3394
7537,Debreste,41.4797,21.3153
7550,Krusevo,41.3689,21.2489
