Postal Code,Place Name,Latitude,Longitude
11115,Barrio Paraiso ,18.4333,-70
11116,Residencial Canaan ,18.4278,-70
11117,Puerto de Haina ,18.425,-70
11201,Jardines de Genovena ,18.4917,-70.0833
11202,Carlos Alvarez ,18.5667,-69.9167
11203,Barrio Nuevo ,18,-71.2167
11204,El Fundo ,18.5167,-70.15
11205,Res. Sol de Luz ,18.6167,-70.1833
11206,De Villa Mella ,18.5833,-70.2652
11207,La Javilla ,18.9333,-70.0667
11301,Barrio Norte ,19.5833,-70.9833
11302,Barrio Nuevo ,18,-71.2167
11401,El Majagual ,19.0333,-70.3
11402,Villa Esperanza ,19.3833,-71.65
11403,Los Palmares ,19.4833,-70.7333
11404,Cerros de Sabana Perdida ,18.525,-69.8917
11405,Salome Ureña ,18.7762,-70.6357
11501,Ensanche Ozama ,18.4833,-69.8667
11502,Molinuevo ,18.7667,-70.3267
11503,Jardines de Alma Rosa ,18.7667,-70.3267
11504,Ens. Alma Rosa (Lado Este) ,18.7667,-70.3267
11505,Villa Faro ,18.5,-69.85
11506,Ivette ,18.7667,-70.3267
11507,Savica ,18.4833,-69.8333
11508,Loteria ,18.6,-70.5
11509,Isabel ,19.7667,-71.5833
11510,Res. del Este ,18.5,-69.8167
11511,Las Palmas ,18.5,-70.3333
11512,Duarte ,18.5,-69.8333
11513,Cabirma del Este I ,18.5083,-69.9361
11514,Res. Idalia A I ,18.5083,-69.9361
11515,El Cachon ,18.5,-69.9333
11516,Cancino ,18.5167,-69.85
11517,Cancino Adentro ,18.5333,-69.85
11518,Res. Amapola ,18.5083,-69.9361
11519,Altos de Cancino ,18.5083,-69.9361
11601,Pueblo Nuevo ,18.4333,-70.1667
11602,Simonico ,18.4833,-69.8667
11603,Parque del Este I ,18.4722,-69.9167
11604,Res. Parque del Este ,18.4722,-69.9167
11605,Los Tres Ojos ,18.4833,-69.85
11606,Villa Olimpica ,18.4722,-69.9167
11704,Corales del Sur ,18.4667,-69.825
11705,Los Frailes ,18.4667,-69.8167
11706,Reparto Caribe ,18.4667,-69.8333
11707,Lotificacion del Este ,18.4667,-69.825
11708,Mirador Este ,18.4667,-69.825
11801,Los Molinos ,18.5028,-69.9139
11802,Ciudad de Los Trabajadores ,18.5028,-69.9139
11803,San Jose de Mendoza ,18.5,-69.8167
11804,Res. Mirador del Este ,18.5028,-69.9139
11805,Barrio John F. Kennedy ,18.5028,-69.9139
11806,Zona Franca Industrial de Herrera ,18.5028,-69.9139
11807,Invi Cea ,18.4583,-70.0833
11808,Batey La Balsa ,18.5167,-69.2167
11809,El Tamarindo ,18.5333,-70.4833
11901,La Milagrosa ,18.5667,-68.9167
11902,Felicidad ,18.7667,-70.0333
11903,Katanga ,18.7278,-69.3944
11904,Cerros del Ozama ,18.85,-69.2333
11905,Los 3 Brazos ,18.7278,-69.3944
11906,Las Enfermeras ,18.7278,-69.3944
